name,taxid,general_classification,alternative_names,pathogenic_sites,commensal_sites,status,high_consequence,pathology,host_organism,kingdom,phylum,class,order,family,genus,mol_type,reference,Additional references,assembly_accession,request_type
Streptomyces bikiniensis,1896,potential,,blood,,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,dna,"Moss, William J., et al. ""Streptomyces bikiniensis bacteremia.""Emerging infectious diseases9.2 (2003): 273.",,GCF_000716625.1,APL-derived
Nocardia niwae NBRC 108934 = DSM 45340,1223489,opportunistic,,"blood, resp, sputum",,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,dna,"Moser, Benjamin D., et al. ""Nocardia niwae sp. nov., isolated from human pulmonary sources.""International journal of systematic and evolutionary microbiology61.2 (2011): 438-442.",,GCF_001613465.1,APL-derived
Achromobacter animicus,1389935,potential,,"blood, sputum",,putative,FALSE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,dna,"Moremi, Nyambura, et al. ""Multidrug-resistant Achromobacter animicus causing wound infection in a street child in Mwanza, Tanzania.""Diagnostic microbiology and infectious disease88.1 (2017): 58-61.",,GCF_040775605.1,APL-derived
Kocuria rosea,1275,opportunistic,,blood,skin,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,dna,"Moreira, Jorge Salomao, et al. ""Endocarditis by Kocuria rosea in an immunocompetent child.""�Brazilian Journal of Infectious Diseases�19 (2015): 82-84.",,GCF_004358895.1,APL-derived
Nocardiopsis dassonvillei,2014,opportunistic,,"nasal, resp, skin",,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Nocardiopsis,dna,"Mordarska, Hi, et al. ""Rare, suppurative pulmonary infection caused by Nocardiopsis dassonvillei recognized by glycolipid markers.""FEMS Immunology & Medical Microbiology21.1 (1998): 47-55.",,GCF_964273245.1,APL-derived
Elizabethkingia meningoseptica,238,opportunistic,,"blood, resp, skin, sputum",,established,FALSE,,human,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,dna,"Moore, Luke SP, et al. ""Waterborne Elizabethkingia meningoseptica in adult critical care.""Emerging infectious diseases22.1 (2016): 9.",,GCF_900475375.1,APL-derived
Kocuria rhizophila,72000,commensal,,blood,"mucus, skin",established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,dna,"Moissenet, Didier, et al. ""Persistent bloodstream infection with Kocuria rhizophila related to a damaged central catheter.""Journal of clinical microbiology50.4 (2012): 1495-1498.",,GCF_035990065.1,APL-derived
Mycobacterium nebraskense,244292,opportunistic,,"resp, sputum",,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,dna,"Mohamed, Amr M., et al. ""Mycobacterium nebraskense sp. nov., a novel slowly growing scotochromogenic species.""International journal of systematic and evolutionary microbiology54.6 (2004): 2057-2060.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5804722/,GCF_002102255.1,APL-derived
Mycobacterium intermedium,28445,opportunistic,,blood,,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,dna,"Moller, Lieke VM, et al. ""Ochrobactrum intermedium infection after liver transplantation.""�Journal of clinical microbiology�37.1 (1999): 241-244.",,GCF_025822065.1,APL-derived
Microbacterium paraoxydans,199592,opportunistic,,blood,,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,dna,"Miyamoto, Masahito, et al. ""The first case report of peritoneal dialysis related peritonitis caused by Microbacterium paraoxydans.""Clinical nephrology79.5 (2013): 402-406.",,GCF_900105335.1,APL-derived
Staphylococcus condimenti,70255,opportunistic,,blood,,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,dna,"Misawa, Y., et al. ""First reported case of Staphylococcus condimenti infection associated with catheter-related bacteraemia.""New microbes and new infections3 (2015): 18-20.",,GCF_900637235.1,APL-derived
Streptococcus merionis,400065,potential,,blood,,putative,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,dna,"Mills, Jonathan M., Derek Bryce, and Emma Williamson. ""Wound Infection by Streptococcus merionis following a Hamster Bite.""Clinical Microbiology Newsletter15.32 (2010): 116-117.",,GCF_900187085.1,APL-derived
Rothia aeria,172042,commensal,,"resp, oral",oral,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,dna,"Michon, J., et al. ""Rothia aeria acute bronchitis: the first reported case.""Infection38.4 (2010): 335-337.",,GCF_016726365.1,APL-derived
Klebsiella pasteurii,2587529,opportunistic,,blood,stool,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,dna,"Merla, Cristina, et al. ""Description of Klebsiella spallanzanii sp. nov. and of Klebsiella pasteurii sp. nov.""Frontiers in microbiology10 (2019): 2360.",,GCF_018139045.1,APL-derived
Corynebacterium massiliense,441501,potential,,blood,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,dna,"Merhej, Vicky, et al. ""Corynebacterium timonense sp. nov. and Corynebacterium massiliense sp. nov., isolated from human blood and human articular hip fluid.""International journal of systematic and evolutionary microbiology59.8 (2009): 1953-1959.",,GCF_943912895.1,APL-derived
Corynebacterium timonense,441500,potential,,blood,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,dna,"Merhej, Vicky, et al. ""Corynebacterium timonense sp. nov. and Corynebacterium massiliense sp. nov., isolated from human blood and human articular hip fluid.""International journal of systematic and evolutionary microbiology59.8 (2009): 1953-1959.",,GCF_900105305.1,APL-derived
Catonella morbi ATCC 51271,592026,potential,,"blood, oral",,established,FALSE,,human,Bacillati,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Catonella,dna,"Menon, T., and V. Naveen Kumar. ""Catonella morbi as a cause of native valve endocarditis in Chennai, India.""Infection40.5 (2012): 581-582.",,GCF_000160035.2,APL-derived
Helicobacter sp.,218,potential,,"gut, stool",,established,FALSE,,human,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,dna,"Melito, P. L., et al. ""Helicobacter winghamensis sp. nov., a novel Helicobacter sp. isolated from patients with gastroenteritis.""Journal of clinical microbiology39.7 (2001): 2412-2417.",,GCF_014799995.1,APL-derived
Saezia sanguinis,1965230,potential,,blood,,putative,FALSE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Saeziaceae,Saezia,dna,"Medina-Pascual, Maria Jose, et al. ""Saezia sanguinis gen. nov., sp. nov., a Betaproteobacteria member of order Burkholderiales, isolated from human blood."" (2020).",,GCF_963921665.1,APL-derived
Rickettsia conorii subsp. raoultii,369822,opportunistic,,blood,,established,TRUE,,human,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,dna,"Mediannikov, Oleg, et al. ""Rickettsia raoultii sp. nov., a spotted fever group rickettsia associated with Dermacentor ticks in Europe and Russia.""International journal of systematic and evolutionary microbiology58.7 (2008): 1635-1639.",,GCF_023674445.1,APL-derived
Paracoccus sanguinis,1545044,opportunistic,,blood,,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,dna,"McGinnis, Jana M., et al. ""Paracoccus sanguinis sp. nov., isolated from clinical specimens of New York State patients.""International journal of systematic and evolutionary microbiology65.Pt_6 (2015): 1877-1882.",,GCF_012689545.1,APL-derived
Nocardia neocaledoniensis,236511,opportunistic,,"abscess, blood, skin",,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,dna,"McGhie, Travea, et al. ""Nocardia neocaledoniensis as a cause of skin and soft tissue infection.""Journal of Clinical Microbiology51.1 (2013): 384-384.","https://wwwnc.cdc.gov/eid/article/29/2/22-1389_article#:~:text=Nocardia%20neocaledoniensis%20is%20a%20rare,spondylodiscitis%20in%20an%20immunocompromised%20man.",GCF_003182135.1,APL-derived
Mobiluncus mulieris,2052,potential,,"abscess, blood, vaginal",,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Mobiluncus,dna,"Mayer, Jeanmarie, et al. ""Extragenital infection due to Mobiluncus mulieris: case report and review.""Diagnostic microbiology and infectious disease20.3 (1994): 163-165.",,GCF_014204735.1,APL-derived
Anaerococcus lactolyticus,33032,potential,,"blood, urine",,putative,FALSE,,human,Bacillati,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,dna,"Mawer, Damian, et al. ""Anaerococcus lactolyticus causing a mycotic aortic aneurysm: Category: Clinical lesson.""Journal of Infection63.6 (2011): e18.",,GCF_947252355.1,APL-derived
Globicatella sanguinis,13076,opportunistic,,"blood, urine",,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Globicatella,dna,"Matusnami, Masatoshi, et al. ""Urosepsis caused by Globicatella sanguinis and Corynebacterium riegelii in an adult: case report and literature review.""Journal of Infection and Chemotherapy18.4 (2012): 552-554.",,GCF_002847845.2,APL-derived
Phocaeicola dorei,357276,potential,,"blood, stool",,putative,FALSE,,human,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,dna,"Matsuoka, Takayuki, et al. ""First case of an invasive Bacteroides dorei infection detected in a patient with a mycotic aortic aneurysm - raising a rebellion of major indigenous bacteria in humans: a case report and review.""�BMC infectious diseases�21 (2021): 1-6.",,GCF_013009555.1,APL-derived
Nocardia jinanensis,382504,potential,,blood,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,dna,"Matsumoto, Takehisa, et al. ""Nocardia shinanonensis sp. nov., isolated from a patient with endophthalmitis.""International journal of systematic and evolutionary microbiology66.9 (2016): 3324-3328.",,GCF_014645735.1,APL-derived
Atopobium minutum,1381,potential,,"blood, abscess, oral",,putative,FALSE,,human,Bacillati,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,dna,"Marvaud, Jean-Christophe, Francine Mory, and Thierry Lambert. ""Clostridium clostridioforme and Atopobium minutum clinical isolates with vanB-type resistance in France.""Journal of clinical microbiology49.9 (2011): 3436-3438.",,GCF_001437015.1,APL-derived
Streptomyces albus,1888,potential,,blood,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,dna,"Martin, Maria Cruz, et al. ""Streptomyces albus isolated from a human actinomycetoma and characterized by molecular techniques.""�Journal of clinical microbiology�42.12 (2004): 5957-5960.",,GCF_024752535.1,APL-derived
Paenibacillus rigui,554312,potential,,blood,,putative,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,dna,"Marchese, A., et al. ""Breast implant infection due to Paenibacillus residui in a cancer patient.""Clinical Microbiology and Infection22.8 (2016): 743-744.",,GCF_002234615.1,APL-derived
Negativicoccus succinicivorans,620903,potential,,"blood, skin",,established,FALSE,,human,Bacillati,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Negativicoccus,dna,"Marchandin, Helene, et al. ""Negativicoccus succinicivorans gen. nov., sp. nov., isolated from human clinical samples, emended description of the family Veillonellaceae and description of Negativicutes classis nov., Selenomonadales ord. nov. and Acidaminococcaceae fam. nov. in the bacterial phylum Firmicutes.""�International journal of systematic and evolutionary microbiology�60.6 (2010): 1271-1279.",,GCF_014207605.1,APL-derived
Sphingomonas koreensis,93064,potential,,csf,,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,dna,"Marbjerg, Lis H., Shahin Gaini, and Ulrik S. Justesen. ""First report of Sphingomonas koreensis as a human pathogen in a patient with meningitis.""Journal of clinical microbiology53.3 (2015): 1028-1030.",,GCF_001922385.1,APL-derived
Scandinavium goeteborgense,1851514,potential,,blood,,putative,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Scandinavium,dna,"Marathe, Nachiket P., et al. ""Scandinavium goeteborgense gen. nov., sp. nov., a new member of the family Enterobacteriaceae isolated from a wound infection, carries a novel quinolone resistance gene variant.""Frontiers in microbiology10 (2019): 2511.",,GCF_003935895.2,APL-derived
Actinomyces bovis,1658,potential,,blood,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,dna,"Mansouri, Parvin, et al. ""Primary cutaneous actinomycosis caused by Actinomyces bovis in a patient with common variable immunodeficiency.""The Journal of dermatology38.9 (2011): 911-915.",,GCF_900444995.1,APL-derived
Anaerobiospirillum thomasii,179995,potential,,stool,,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,dna,"Malnick, Henry. ""Anaerobiospirillum thomasii sp. nov., an anaerobic spiral bacterium isolated from the feces of cats and dogs and from diarrheal feces of humans, and emendation of the genus Anaerobiospirillum.""International Journal of Systematic and Evolutionary Microbiology47.2 (1997): 381-384.",,GCF_900445255.1,APL-derived
Amycolatopsis benzoatilytica AK 16/65,1089544,potential,,blood,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,dna,"Majumdar, Swati, et al. ""Reclassification of Amycolatopsis orientalis DSM 43387 as Amycolatopsis benzoatilytica sp. nov.""International journal of systematic and evolutionary microbiology56.1 (2006): 199-204.",,GCF_000383915.1,APL-derived
Lactobacillus delbrueckii,1584,commensal,,"blood, urine",vaginal,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,dna,"Maillet, F., et al. ""Lactobacillus delbrueckii urinary tract infection in a male patient.""Medecine et maladies infectieuses49.3 (2019): 226-228.",,GCF_009734125.1,APL-derived
Staphylococcus delphini,53344,potential,,blood,,putative,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,dna,"Magleby, Reed, et al. ""First reported human isolation of Staphylococcus delphini.""Diagnostic microbiology and infectious disease94.3 (2019): 274-276.",,GCF_025558825.1,APL-derived
Bartonella melophagi K-2C,1094557,potential,,blood,,putative,FALSE,,human,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,dna,"Maggi, Ricardo G., et al. ""Isolation of Candidatus Bartonella melophagi from human blood.""Emerging infectious diseases15.1 (2009): 66.",,GCF_000278255.1,APL-derived
Burkholderia vietnamiensis,60552,opportunistic,,blood,,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,dna,"Magalhaes, Marcelo, Murilo CA de Britto, and Peter Vandamme. ""Burkholderia cepacia genomovar III and Burkholderia vietnamiensis double infection in a cystic fibrosis child.""�Journal of Cystic Fibrosis�1.4 (2002): 292-294.",,GCF_001718495.1,APL-derived
Bacteroides pyogenes,310300,opportunistic,,"abscess, blood",,established,FALSE,,human,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,dna,"Madsen, Ida Ringsborg, and Ulrik Stenz Justesen. ""Bacteremia with Bacteroides pyogenes after a cat bite.""Journal of clinical microbiology49.8 (2011): 3092-3093.",,GCF_048595595.1,APL-derived
Nocardia vinacea,96468,potential,,blood,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,dna,"Luong, Minh-Son, et al. ""Pyoderma vegetans in a renal transplant recipient: first case of human infection with Nocardia vinacea.""Transplantation87.12 (2009): 1898-1899.",,GCF_040681085.1,APL-derived
Brucella canis,36855,opportunistic,,blood,,established,TRUE,,"human, canine",Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,dna,"Lucero, N. E., et al. ""Human Brucella canis outbreak linked to infection in dogs.""Epidemiology & Infection138.2 (2010): 280-285.",https://www.nasphv.org/Documents/BrucellaCanisInHumans.pdf,GCF_000691585.1,APL-derived
Clostridium diolis,223919,potential,, blood,,putative,FALSE,,human,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,dna,"Lotte, Romain, et al. ""First isolation of Clostridium indolis in a patient with chronic osteitis: a case report and literature review of human infections related to Clostridium saccharolyticum group species.""Anaerobe42 (2016): 44-49.",,GCF_008705175.1,APL-derived
Brevibacillus agri,51101,opportunistic,,blood,,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,dna,"Logan, Niall A., et al. ""Polyphasic identification of Bacillus and Brevibacillus strains from clinical, dairy and industrial specimens and proposal of Brevibacillus invocatus sp. nov..""International journal of systematic and evolutionary microbiology52.3 (2002): 953-966.",,GCF_004117055.1,APL-derived
Brevibacillus centrosporus,54910,opportunistic,,blood,,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,dna,"Logan, Niall A., et al. ""Polyphasic identification of Bacillus and Brevibacillus strains from clinical, dairy and industrial specimens and proposal of Brevibacillus invocatus sp. nov..""International journal of systematic and evolutionary microbiology52.3 (2002): 953-966.",,GCF_046622605.1,APL-derived
Legionella parisiensis,45071,potential,,blood,,putative,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,dna,"Lo Presti, F., et al. ""The first clinical isolate of Legionella parisiensis, from a liver transplant patient with pneumonia.""Journal of Clinical Microbiology35.7 (1997): 1706-1709.",,GCF_900461585.1,APL-derived
Psychrobacter immobilis,498,opportunistic,,"blood, eye",,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,dna,"Lloyd-Puryear, M., et al. ""Meningitis caused by Psychrobacter immobilis in an infant.""Journal of clinical microbiology29.9 (1991): 2041-2042.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC269623/,GCF_003148585.1,APL-derived
Campylobacter hominis,76517,potential,,blood,gut,putative,FALSE,,human,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,dna,"Linscott, Andrea J., et al. ""Fatal septicemia due to Clostridium hathewayi and Campylobacter hominis.""Anaerobe11.1-2 (2005): 97-98.",https://pubmed.ncbi.nlm.nih.gov/11321111/,GCF_019930945.1,APL-derived
Elizabethkingia bruuniana,1756149,opportunistic,,"blood, resp, urine",,established,FALSE,,human,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,dna,"Lin, Jiun-Nong, et al. ""Elizabethkingia bruuniana infections in humans, Taiwan, 2005-2017.""�Emerging Infectious Diseases�25.7 (2019): 1412.",,GCF_002024805.1,APL-derived
Lactococcus garvieae,1363,opportunistic,,"blood, urine",,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,dna,"Li, Wei-Kai, et al. ""Lactococcus garvieae endocarditis with initial presentation of acute cerebral infarction in a healthy immunocompetent man.""Internal Medicine47.12 (2008): 1143-1146.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7455392/,GCF_016026695.1,APL-derived
Leptospira broomii serovar Hurstbridge str. 5399,1049789,potential,,blood,,putative,FALSE,,human,Pseudomonadati,Spirochaetota,Leptospiria,Leptospirales,Leptospiraceae,Leptospira,dna,"Levett, Paul N., et al. ""Leptospira broomii sp. nov., isolated from humans with leptospirosis.""International journal of systematic and evolutionary microbiology56.3 (2006): 671-673.",,GCF_000243715.2,APL-derived
Streptococcus parasanguinis,1318,commensal,,"blood, urine",oral,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,dna,"Lee, Wen-Sen, et al. ""Streptococcus parasanguinis coinfection with Escherichia coli bacteremia in a patient with complicated urinary tract infection.""Journal of Experimental & Clinical Medicine6.6 (2014): 230-231.",,GCF_018619375.2,APL-derived
Weissella confusa,1583,opportunistic,,"abscess, blood",,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,dna,"Lee, M-R., et al. ""Bacteraemia caused by Weissella confusa at a university hospital in Taiwan, 1997-2007.""�Clinical microbiology and infection�17.8 (2011): 1226-1231.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4628101/,GCF_004771075.1,APL-derived
Kocuria marina,223184,opportunistic,,blood,,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,dna,"Lee, Ja Young, et al. ""Two cases of peritonitis caused by Kocuria marina in patients undergoing continuous ambulatory peritoneal dialysis.""Journal of clinical microbiology47.10 (2009): 3376-3378.",,GCF_014652975.1,APL-derived
Mycobacterium paraseoulense,590652,potential,,sputum,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,dna,"Lee, Hyung Ki, et al. ""Mycobacterium paraseoulense sp. nov., a slowly growing, scotochromogenic species related genetically to Mycobacterium seoulense."" International journal of systematic and evolutionary microbiology 60.2 (2010): 439-443",,GCF_010731655.1,APL-derived
Mycolicibacterium alvei,67081,potential,,"blood, resp",,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,dna,"Lee, Chen-Hsiang, et al. ""Prosthetic joint infection caused by Mycobacterium alvei in an elderly patient.""Journal of clinical microbiology49.8 (2011): 3096-3098.",,GCF_010727325.1,APL-derived
Dokdonella koreensis DS-123,1300342,potential,,blood,,putative,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Dokdonella,dna,"Lee, Boeun, and Mitchell R. Weinstein. ""Dokdonella koreensis bacteremia: a case report and review of the literature.""Canadian Journal of Infectious Diseases and Medical Microbiology25.5 (2014): 255-256.",,GCF_001632775.1,APL-derived
Haemophilus paraphrohaemolyticus,736,commensal,,"abscess, blood",resp,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,dna,"Le Floch, Anne-Sophie, et al. ""Haemophilus parahaemolyticus septic shock after aspiration pneumonia, France.""Emerging infectious diseases19.10 (2013): 1694.",,GCF_900451065.1,APL-derived
Facklamia languida CCUG 37842,883113,potential,,"blood, urine",,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,dna,"Lawson, Paul A., et al. ""Facklamia languida sp. nov., isolated from human clinical specimens.""Journal of clinical microbiology37.4 (1999): 1161-1164.",,GCF_000245795.1,APL-derived
Dysgonomonas hofstadii,637886,potential,,"abscess, blood, stool",,putative,FALSE,,human,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,dna,"Lawson, Paul A., et al. ""Dysgonomonas hofstadii sp. nov., isolated from a human clinical source.""Anaerobe16.2 (2010): 161-164.",,GCF_014196915.1,APL-derived
Kingella potus,265175,potential,,blood,,putative,FALSE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,dna,"Lawson, Paul A., et al. ""Description of Kingella potus sp. nov., an organism isolated from a wound caused by an animal bite.""Journal of clinical microbiology43.7 (2005): 3526-3529.",,GCF_900451175.1,APL-derived
Prevotella amnii,419005,potential,,blood,,putative,FALSE,,human,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,dna,"Lawson, Paul A., Edward Moore, and Enevold Falsen. ""Prevotella amnii sp. nov., isolated from human amniotic fluid.""International journal of systematic and evolutionary microbiology58.1 (2008): 89-92.",,GCF_001553225.1,APL-derived
Myroides injenensis,1183151,opportunistic,,"blood, urine",,established,FALSE,,human,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,dna,"LaVergne, Stephanie, Thaidra Gaufin, and Douglas Richman. ""Myroides injenensis bacteremia and severe cellulitis.""Open forum infectious diseases. Vol. 6. No. 7. US: Oxford University Press, 2019.",,GCF_026627945.1,APL-derived
Nocardia ninae NBRC 108245,1210091,potential,,resp,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,dna,"Laurent, Frederic, et al. ""Nocardia ninae sp. nov., isolated from a bronchial aspirate.""International journal of systematic and evolutionary microbiology57.4 (2007): 661-665.",,GCF_007990755.1,APL-derived
Elizabethkingia anophelis,1117645,opportunistic,,"blood, resp, sputum",,established,FALSE,,human,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,dna,"Lau, Susanna KP, et al. ""Elizabethkingia anophelis bacteremia is associated with clinically significant infections and high mortality.""Scientific reports6.1 (2016): 1-10.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9802642/,GCF_001596175.2,APL-derived
Eggerthella sinensis,242230,potential,,blood,,putative,FALSE,,human,Bacillati,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,dna,"Lau, Susanna KP, et al. ""Eggerthella hongkongensis sp. nov. and Eggerthella sinensis sp. nov., two novel Eggerthella species, account for half of the cases of Eggerthella bacteremia.""Diagnostic microbiology and infectious disease49.4 (2004): 255-263.",,GCF_003339815.1,APL-derived
Paraeggerthella hongkongensis,230658,potential,,blood,,putative,FALSE,,human,Bacillati,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Paraeggerthella,dna,"Lau, Susanna KP, et al. ""Eggerthella hongkongensis sp. nov. and Eggerthella sinensis sp. nov., two novel Eggerthella species, account for half of the cases of Eggerthella bacteremia.""Diagnostic microbiology and infectious disease49.4 (2004): 255-263.",,GCF_003726035.1,APL-derived
Nocardia vulneris,1141657,opportunistic,,blood,,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,dna,"Lasker, Brent A., et al. ""Nocardia vulneris sp. nov., isolated from wounds of human patients in North America.""Antonie van Leeuwenhoek106.3 (2014): 543-553.",,GCF_001613425.1,APL-derived
Nocardia arizonensis,1141647,potential,,"resp, sputum",,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,dna,"Lasker, Brent A., et al. ""Nocardia arizonensis sp. nov., obtained from human respiratory specimens.""Antonie van Leeuwenhoek108.5 (2015): 1129-1137.",,GCF_001618405.1,APL-derived
Aquimonas voraii,265719,potential,,blood,,putative,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Aquimonas,dna,"LaSala, P. Rocco, et al. ""First reported infections caused by three newly described genera in the family Xanthomonadaceae.""Journal of clinical microbiology45.2 (2007): 641-644.",,GCF_900101825.1,APL-derived
